Part_Brand_id,Part Brand Name,Part_Brand_name_Tags,desc,Part_Brand_Type,Oem_id
319,fortune line,fortune line,-,2,1
320,fpi,fpi,-,2,1
321,fram,fram,-,2,1
322,fuso,fuso,-,2,1
323,gap korea,gap korea,-,2,1
324,garrett,garrett,-,2,1
325,gemco,gemco,-,2,1
326,gieffe,gieffe,-,2,1
327,gilard,gilard,-,2,1
328,gistorne,gistorne,-,2,1
329,gk,gk,-,2,1
330,gkn,gkn,-,2,1
331,glo,glo,-,2,1
332,global,global,-,2,1
333,gmb,gmb,-,2,1
334,gns,gns,-,2,1
335,gomet,gomet,-,2,1
336,graf,graf,-,2,1
337,gsp,gsp,-,2,1
338,gts,gts,-,2,1
339,haldex,haldex,-,2,1
340,hankook,hankook,-,2,1
341,hans pries,hans pries,-,2,1
342,harisons,harisons,-,2,1
343,hart,hart,-,2,1
344,hasaki,hasaki,-,2,1
345,hastings,hastings,-,2,1
346,hatz diesel,hatz diesel,-,2,1
347,hazet,hazet,-,2,1
348,hcc,hcc,-,2,1
349,hc-cargo,hc-cargo,-,2,1
350,hdk,hdk,-,2,1
351,helicord,helicord,-,2,1
352,hella pagid,hella pagid,-,2,1
353,hengst filter,hengst filter,-,2,1
354,herthbuss,herthbuss,-,2,1
355,hindustan,hindustan,-,2,1
356,hino,hino,-,2,1
357,hitachi,hitachi,-,2,1
358,hkt,hkt,-,2,1
359,hl,hl,-,2,1
360,hlc,hlc,-,2,1
361,holset,holset,-,2,1
362,honda / acura,honda / acura,-,2,1
363,hsb,hsb,-,2,1
364,huco,huco,-,2,1
365,hutchinson,hutchinson,-,2,1
366,hyundai / kia,hyundai / kia,-,2,1
367,i cord,i cord,-,2,1
368,ijl,ijl,-,2,1
369,iljin,iljin,-,2,1
370,ims,ims,-,2,1
371,india piston ltd,india piston ltd,-,2,1
372,intermotor,intermotor,-,2,1
373,intervalves,intervalves,-,2,1
374,isam,isam,-,2,1
375,iskra,iskra,-,2,1
376,isuzu,isuzu,-,2,1
377,itr,itr,-,2,1
378,iveco,iveco,-,2,1
379,iwis,iwis,-,2,1
380,izumi,izumi,-,2,1
381,jab,jab,-,2,1
382,jaguar,jaguar,-,2,1
383,japan cars,japan cars,-,2,1
384,jfbk,jfbk,-,2,1
385,jma,jma,-,2,1
386,jmj,jmj,-,2,1
387,jost,jost,-,2,1
388,jp group,jp group,-,2,1
389,js asakashi,js asakashi,-,2,1
390,jurid,jurid,-,2,1
391,kager,kager,-,2,1
392,kamei,kamei,-,2,1
393,kamoka,kamoka,-,2,1
